Species	GO_ID	GO_Term	AdjustedPv	Gene_num
Gorilla_gorilla	GO:0004984	olfactory receptor activity	3.60698793665905e-21	216
Gorilla_gorilla	GO:0004888	transmembrane signaling receptor activity	1.21737102760679e-16	337
Gorilla_gorilla	GO:0004930	G protein-coupled receptor activity	5.71027965225772e-16	288
Gorilla_gorilla	GO:0060089	molecular transducer activity	4.29372792477024e-15	351
Gorilla_gorilla	GO:0038023	signaling receptor activity	4.4152830324981e-15	350
Gorilla_gorilla	GO:0007186	G protein-coupled receptor signaling pathway	3.42934429396487e-14	310
Gorilla_gorilla	GO:0016021	integral component of membrane	3.10665781326128e-12	541
Gorilla_gorilla	GO:0031224	intrinsic component of membrane	4.37675425758702e-12	543
Gorilla_gorilla	GO:0023052	signaling	1.63285944823541e-08	502
Gorilla_gorilla	GO:0007154	cell communication	1.97082035353802e-08	505
Gorilla_gorilla	GO:0007165	signal transduction	4.2079548909685e-08	489
Gorilla_gorilla	GO:0044425	membrane part	5.8894450816716e-07	573
Gorilla_gorilla	GO:0051716	cellular response to stimulus	2.99701723645128e-05	511
Gorilla_gorilla	GO:0003774	motor activity	3.86996642719849e-05	42
Gorilla_gorilla	GO:0016020	membrane	0.000212051638096589	719
Gorilla_gorilla	GO:0003777	microtubule motor activity	0.00123279002590465	27
Gorilla_gorilla	GO:0000413	protein peptidyl-prolyl isomerization	0.00214445127498751	25
Gorilla_gorilla	GO:0007018	microtubule-based movement	0.0033860876831333	29
Gorilla_gorilla	GO:0050794	regulation of cellular process	0.00430548528821147	790
Hominidae	GO:1990904	ribonucleoprotein complex	2.31435274886839e-15	42
Hominidae	GO:1901566	organonitrogen compound biosynthetic process	3.25943706232099e-13	49
Hominidae	GO:0043604	amide biosynthetic process	9.5856844922865e-13	41
Hominidae	GO:0003735	structural constituent of ribosome	1.08317794314941e-11	36
Hominidae	GO:0005840	ribosome	1.08317794314941e-11	36
Hominidae	GO:0006412	translation	1.17501838291805e-10	38
Hominidae	GO:0005198	structural molecule activity	3.90859097311383e-10	41
Hominidae	GO:0044237	cellular metabolic process	3.10767260708991e-09	111
Hominidae	GO:0008152	metabolic process	1.21769891961949e-07	128
Hominidae	GO:0032991	protein-containing complex	1.7559989401981e-07	61
Hominidae	GO:0044267	cellular protein metabolic process	5.09579065111199e-07	59
Hominidae	GO:0034641	cellular nitrogen compound metabolic process	5.09579065111199e-07	78
Hominidae	GO:1901564	organonitrogen compound metabolic process	5.09579065111199e-07	74
Hominidae	GO:0043232	intracellular non-membrane-bounded organelle	9.17189407186822e-07	48
Hominidae	GO:0005737	cytoplasm	1.05387505376927e-06	51
Hominidae	GO:0006807	nitrogen compound metabolic process	1.05387505376927e-06	106
Hominidae	GO:0044424	intracellular part	2.6945074420694e-06	84
Hominidae	GO:0044249	cellular biosynthetic process	3.49112835721608e-06	69
Hominidae	GO:0044444	cytoplasmic part	4.75922934415851e-06	45
Hominidae	GO:0009058	biosynthetic process	5.95690364060056e-06	70
Hominidae	GO:1901576	organic substance biosynthetic process	5.95690364060056e-06	69
Hominidae	GO:0071704	organic substance metabolic process	6.02555455965758e-06	111
Hominidae	GO:0044238	primary metabolic process	2.82054634211582e-05	106
Hominidae	GO:0044271	cellular nitrogen compound biosynthetic process	7.66544124076217e-05	61
Hominidae	GO:0019538	protein metabolic process	0.00016011562604396	61
