Lineage	GeneID	Loss_category
Hominini	ENSMMUG00000021068	genomic_loss
Hominini	gene_LOC100436069	pseudogene
Hominini	ENSGGOG00000043141_11911_M	pseudogene
Hominini	ENSGGOG00000043023_18322_P	pseudogene
Hominini	ENSMMUG00000047178	genomic_loss
Hominini	ENSGGOG00000038329_13159_M	pseudogene
Hominini	ENSGGOG00000039310_15631_P	pseudogene
Hominini	ENSGGOG00000022126_12159_M	pseudogene
Hominini	ENSNLEG00000032879	pseudogene
Hominini	ENSGGOG00000037535_5981_M	pseudogene
Hominini	ENSNLEG00000028385	pseudogene
Hominini	ENSMMUG00000012342	genomic_loss
Hominini	ENSGGOG00000025376_4735_M	genomic_loss
Hominini	ENSGGOG00000041769_11991_M	pseudogene
Hominini	ENSGGOG00000039438_1164_P	genomic_loss
Hominini	ENSGGOG00000042615_3866_M	pseudogene
Hominini	ENSNLEG00000000723	genomic_loss
Hominini	ENSMMUG00000018696	genomic_loss
Hominini	ENSNLEG00000027599	pseudogene
Hominini	ENSGGOG00000038498_5476_P	pseudogene
Hominini	ENSNLEG00000032376	genomic_loss
Hominini	ENSGGOG00000022221_4444_M	pseudogene
Hominini	ENSMMUG00000049088	pseudogene
Hominini	ENSMMUG00000047232	pseudogene
Hominini	gene_LOC100455943	pseudogene
Hominini	gene_LOC100455334	genomic_loss
Hominini	ENSGGOG00000042493_20653_P	pseudogene
Hominini	ENSGGOG00000022919_15517_P	pseudogene
Hominini	ENSGGOG00000043692_12732_P	pseudogene
Hominini	ENSGGOG00000022145_15390_P	pseudogene
Hominini	ENSGGOG00000041018_3339_M	pseudogene
Hominini	ENSGGOG00000023384_4733_P	pseudogene
Hominini	ENSMMUG00000023805	pseudogene
Hominini	ENSGGOG00000040596_13294_M	pseudogene
Hominini	ENSMMUG00000022815	genomic_loss
Hominini	ENSGGOG00000039969_6600_P	pseudogene
Hominini	ENSGGOG00000039717_13154_P	pseudogene
Hominini	gene_LOC112130092	pseudogene
Hominini	ENSGGOG00000039477_17472_P	pseudogene
Hominini	ENSGGOG00000024016_4574_P	pseudogene
Hominini	ENSGGOG00000037165_9131_P	pseudogene
Hominini	ENSGGOG00000039113_21509_M	pseudogene
Hominini	ENSGGOG00000014832_5310_M	genomic_loss
Hominini	gene_LOC100461959	pseudogene
Hominini	ENSGGOG00000026120_13397_P	pseudogene
Hominini	ENSGGOG00000026241_338_M	genomic_loss
Hominini	gene_LOC100436376	pseudogene
Hominini	ENSGGOG00000039014_14163_M	genomic_loss
Hominini	ENSGGOG00000040680_13383_P	genomic_loss
Hominini	ENSNLEG00000032867	genomic_loss
Hominini	ENSGGOG00000022254_3530_M	pseudogene
Hominini	ENSGGOG00000039142_8609_P	pseudogene
Hominini	ENSGGOG00000042354_12367_M	pseudogene
Hominini	ENSGGOG00000028052_7687_M	pseudogene
Hominini	ENSGGOG00000022295_19523_M	pseudogene
Hominini	ENSGGOG00000040886_1760_P	pseudogene
Hominini	ENSGGOG00000023888_421_P	pseudogene
Hominini	ENSGGOG00000040507_10519_M	pseudogene
Hominini	ENSG00000185821_9996_M	pseudogene
Hominini	gene_LOC100935923	pseudogene
Hominini	gene_DKFZP469I0912	pseudogene
Hominini	gene_LOC112135542	genomic_loss
Hominini	ENSNLEG00000033802	genomic_loss
Hominini	ENSNLEG00000002282	genomic_loss
Hominini	ENSGGOG00000036570_14666_M	genomic_loss
Hominini	ENSGGOG00000041261_21351_M	pseudogene
Hominini	gene_PIEZO2	genomic_loss
Hominini	ENSMMUG00000041624	genomic_loss
Hominini	ENSGGOG00000028527_7774_M	pseudogene
Hominini	ENSMMUG00000042870	genomic_loss
Hominini	gene_LOC100435499	pseudogene
Hominini	gene_LOC100458661	genomic_loss
Hominini	ENSGGOG00000040767_9004_P	pseudogene
Hominini	ENSNLEG00000029278	genomic_loss
Hominini	ENSGGOG00000040729_17046_P	pseudogene
Hominini	ENSGGOG00000041760_19936_M	pseudogene
Hominini	ENSGGOG00000038713_4540_P	pseudogene
Hominini	ENSGGOG00000023785_10742_M	pseudogene
Hominini	ENSGGOG00000040389_12791_P	pseudogene
Hominini	ENSMMUG00000048285	pseudogene
Hominini	ENSGGOG00000036729_21631_P	pseudogene
Hominini	ENSGGOG00000037313_11308_P	genomic_loss
Hominini	gene_LOC100446052	genomic_loss
Hominini	ENSGGOG00000041264_256_P	pseudogene
Hominini	ENSGGOG00000009129_4955_M	genomic_loss
Hominini	ENSGGOG00000037611_13850_M	pseudogene
Hominini	ENSGGOG00000039837_14232_P	pseudogene
Hominini	ENSGGOG00000038559_4832_M	pseudogene
Hominini	gene_LOC100462605	genomic_loss
Hominini	gene_LOC100435899	pseudogene
Hominini	ENSGGOG00000025513_4223_M	genomic_loss
Hominini	ENSGGOG00000021984_20294_M	pseudogene
Hominini	ENSGGOG00000023438_11024_M	pseudogene
Hominini	ENSGGOG00000041019_8762_M	pseudogene
Hominini	ENSGGOG00000042657_7735_P	genomic_loss
Hominini	ENSGGOG00000015700_10891_M	pseudogene
Hominini	gene_LOC100938432	pseudogene
Hominini	ENSMMUG00000031987	pseudogene
Hominini	ENSNLEG00000035198	pseudogene
Hominini	ENSGGOG00000043575_11166_P	pseudogene
Hominini	ENSNLEG00000011810	pseudogene
Hominini	gene_LOC100446230	pseudogene
Hominini	ENSGGOG00000025093_1944_P	genomic_loss
Hominini	ENSMMUG00000045675	genomic_loss
Hominini	ENSGGOG00000038778_356_M	genomic_loss
Hominini	ENSMMUG00000015525	genomic_loss
Hominini	ENSGGOG00000012160_1078_P	pseudogene
Hominini	ENSNLEG00000033639	genomic_loss
Hominini	ENSNLEG00000015518	pseudogene
Hominini	ENSNLEG00000034838	pseudogene
Hominini	ENSNLEG00000029769	pseudogene
Hominini	ENSGGOG00000037216_5446_M	genomic_loss
Hominini	ENSGGOG00000025941_1445_M	genomic_loss
Hominini	ENSGGOG00000038269_10934_P	pseudogene
Hominini	ENSMMUG00000044070	genomic_loss
Hominini	ENSMMUG00000039451	genomic_loss
Hominini	ENSNLEG00000032430	genomic_loss
Hominini	ENSGGOG00000040889_17532_P	pseudogene
Hominini	gene_LOC100454453	pseudogene
Hominini	ENSMMUG00000019431	genomic_loss
Hominini	ENSGGOG00000027365_15108_M	pseudogene
Hominini	ENSGGOG00000024966_12356_P	pseudogene
Hominini	gene_LOC100939951	pseudogene
Hominini	ENSGGOG00000042653_1722_M	pseudogene
Hominini	ENSGGOG00000025230_13067_M	pseudogene
Hominini	gene_DEFB134	genomic_loss
Hominini	gene_LOC100451620	pseudogene
Hominini	ENSMMUG00000045542	pseudogene
Hominini	ENSGGOG00000040940_3042_M	pseudogene
