Lineage	Gene_ID	Category	
Homo_sapiens	ENSG00000269096	Tandem_duplication
Homo_sapiens	ENSG00000242875	Disperse_DNA_duplication
Homo_sapiens	ENSG00000256374	Disperse_DNA_duplication
Homo_sapiens	ENSG00000249811	Disperse_DNA_duplication
Homo_sapiens	ENSG00000167195	Tandem_duplication
Homo_sapiens	ENSG00000267706	De_novo
Homo_sapiens	ENSG00000177710	Disperse_DNA_duplication
Homo_sapiens	ENSG00000275113	Disperse_DNA_duplication
Homo_sapiens	ENSG00000196312	Disperse_DNA_duplication
Homo_sapiens	ENSG00000260596	Disperse_DNA_duplication
Homo_sapiens	ENSG00000257115	Disperse_DNA_duplication
Homo_sapiens	ENSG00000125551	Tandem_duplication
Homo_sapiens	ENSG00000255192	Retrotransposed
Homo_sapiens	ENSG00000226430	Disperse_DNA_duplication
Homo_sapiens	ENSG00000183281	Tandem_duplication
Homo_sapiens	ENSG00000266076	De_novo
Homo_sapiens	ENSG00000285607	Disperse_DNA_duplication
Homo_sapiens	ENSG00000272897	Tandem_duplication
Homo_sapiens	ENSG00000196993	Disperse_DNA_duplication
Homo_sapiens	ENSG00000212807	Disperse_DNA_duplication
Homo_sapiens	ENSG00000108448	Disperse_DNA_duplication
Homo_sapiens	ENSG00000170122	Disperse_DNA_duplication
Homo_sapiens	ENSG00000142539	De_novo
Homo_sapiens	ENSG00000259680	Disperse_DNA_duplication
Homo_sapiens	ENSG00000236737	De_novo
Homo_sapiens	ENSG00000284686	De_novo
Homo_sapiens	ENSG00000279782	Disperse_DNA_duplication
Homo_sapiens	ENSG00000272305	De_novo
Homo_sapiens	ENSG00000254732	De_novo
Homo_sapiens	ENSG00000251537	Tandem_duplication
Homo_sapiens	ENSG00000227488	Tandem_duplication
Homo_sapiens	ENSG00000282246	De_novo
Homo_sapiens	ENSG00000268320	Disperse_DNA_duplication
Homo_sapiens	ENSG00000275954	Disperse_DNA_duplication
Homo_sapiens	ENSG00000164729	Disperse_DNA_duplication
Homo_sapiens	ENSG00000171916	Disperse_DNA_duplication
Homo_sapiens	ENSG00000285472	Tandem_duplication
Homo_sapiens	ENSG00000204501	Disperse_DNA_duplication
Homo_sapiens	ENSG00000224089	Disperse_DNA_duplication
Homo_sapiens	ENSG00000263809	Tandem_duplication
Homo_sapiens	ENSG00000168757	Disperse_DNA_duplication
Homo_sapiens	ENSG00000275869	Tandem_duplication
Homo_sapiens	ENSG00000275993	Disperse_DNA_duplication
Homo_sapiens	ENSG00000281883	De_novo
Homo_sapiens	ENSG00000268940	Tandem_duplication
Homo_sapiens	ENSG00000232264	Tandem_duplication
Homo_sapiens	ENSG00000257065	De_novo
Homo_sapiens	ENSG00000271810	De_novo
Homo_sapiens	ENSG00000276612	De_novo
Homo_sapiens	ENSG00000250844	Disperse_DNA_duplication
Homo_sapiens	ENSG00000285950	Disperse_DNA_duplication
Homo_sapiens	ENSG00000273213	Retrotransposed
Homo_sapiens	ENSG00000261509	Disperse_DNA_duplication
Homo_sapiens	ENSG00000285937	Tandem_duplication
Homo_sapiens	ENSG00000243896	Disperse_DNA_duplication
Homo_sapiens	ENSG00000288000	De_novo
Homo_sapiens	ENSG00000274175	Disperse_DNA_duplication
Homo_sapiens	ENSG00000281348	De_novo
Homo_sapiens	ENSG00000226600	Disperse_DNA_duplication
Homo_sapiens	ENSG00000160221	Disperse_DNA_duplication
Homo_sapiens	ENSG00000274600	Disperse_DNA_duplication
Homo_sapiens	ENSG00000268361	Disperse_DNA_duplication
Homo_sapiens	ENSG00000258466	De_novo
