reference	Homo_sapiens	Gorilla_gorilla	Macaca_mulatta	Nomascus_leucogenys	Pan_troglodytes	Pongo_abelii
Macaca_mulatta	-	-	ENSMMUG00000040115	-	-	-	
Macaca_mulatta	ENSMMUG00000029880-4030-M	ENSMMUG00000029880-6989-M	ENSMMUG00000029880	-	ENSMMUG00000029880-2948-M	-	
Macaca_mulatta	-	-	ENSMMUG00000012796	-	-	-	
Macaca_mulatta	ENSMMUG00000043784-9-P	ENSMMUG00000043784-4-P	ENSMMUG00000043784	ENSMMUG00000043784-5-M	ENSMMUG00000043784-7-P	ENSMMUG00000043784-7-M	
Macaca_mulatta	ENSMMUG00000030178-4034-P	ENSMMUG00000030178-6991-P	ENSMMUG00000030178	-	ENSMMUG00000030178-2950-P	-	
Macaca_mulatta	-	-	ENSMMUG00000044088	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000022489	-	ENSMMUG00000022489-2951-M	ENSMMUG00000022489-3105-M	
Macaca_mulatta	-	-	ENSMMUG00000048000	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000038377	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000039733	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000008347	-	-	ENSMMUG00000008347-4-P	
Macaca_mulatta	-	-	ENSMMUG00000043711	ENSMMUG00000043711-8-P	-	ENSMMUG00000043711-5-M	
Macaca_mulatta	-	ENSMMUG00000023800-9-P	ENSMMUG00000023800	-	-	ENSMMUG00000023800-16-P	
Macaca_mulatta	-	ENSMMUG00000018696-2130-P	ENSMMUG00000018696	-	ENSMMUG00000018696-20-M	ENSMMUG00000018696-17-M	
Macaca_mulatta	ENSMMUG00000039995-4041-M	-	ENSMMUG00000039995	-	ENSMMUG00000039995-2955-M	ENSMMUG00000039995-3109-M	
Macaca_mulatta	-	-	ENSMMUG00000042580	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000043419	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000029550	-	-	-	
Macaca_mulatta	ENSMMUG00000039427-4050-P	ENSMMUG00000039427-2302-P	ENSMMUG00000039427	ENSMMUG00000039427-3121-P	ENSMMUG00000039427-2961-P	ENSMMUG00000039427-3117-P	
